 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 10/05/2012   17:09:15
 ---------------------------------------------------------------------------------------------------------------------------------- 

17:09:16  |  Core  |  Warning  |  dublicate resource name 'StretchRectangleRight'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'StretchRectangleHorz'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'StretchRectangleVert'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'StretchRectangle'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'StatisticRect'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'ItemBoxV'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'ItemBoxH'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'ButtonStaticImage'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'ButtonImage'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'ButtonImageText'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'CheckBox'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'RadioBox'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'ButtonMinusPlus'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'ButtonX'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'ButtonV'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'ButtonDown'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'ButtonUp'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'ButtonLeft'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'ButtonRight'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'ButtonSmall'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'Button'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'EditClientSimple'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'WordWrapSimple'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'WordWrap'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'EditClient'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'EditStretch'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'Edit'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'EditEmpty'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'ComboBox'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'WindowCaption'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'WindowCaptionDisable'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'WindowCaptionSmall'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'WindowResizeRight'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'WindowResizeLeft'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'Window'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'WindowC'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'WindowCS'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'WindowCSX'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'WindowCSMX'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'MessageClient'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'MessageIcon'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'Message'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'Panel'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'PanelSmall'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'ScrollView'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'ScrollViewEmpty'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'TabButton'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'TabEmpty'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'TabPatch'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'Tab'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'PopupMenuLine'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'PopupMenuSeparator'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'PopupMenuLineIcon'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'PopupMenu'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'MenuBarButton'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'MenuBar'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'ListLine'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'List'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'MultiSubList'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'MultiListButtonIcon'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'MultiListButton'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'MultiList'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'VScrollTrackSlider'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'VScrollTrack'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'VScrollTopPart'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'VScrollBottomPart'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'VScroll'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'HScrollTrackSlider'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'HScrollTrack'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'HScrollLeftPart'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'HScrollRightPart'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'HScroll'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'VSlider'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'HSlider'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'Progress'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'ProgressFill'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'WindowSmallCaption'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'ButtonRoundBlue'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'ButtonRoundGrey'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'ListCtrl'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'EditStretch2'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'List2'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'WindowSmallC'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:09:16  |  Core  |  Warning  |  dublicate resource name 'WindowSmallCX'  |  ..\..\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  103
17:55:42  |  Core  |  Info  |  * Shutdown: Gui  |  ..\..\MyGUIEngine\src\MyGUI_Gui.cpp  |  136
17:55:42  |  Core  |  Info  |  * Shutdown: PointerManager  |  ..\..\MyGUIEngine\src\MyGUI_PointerManager.cpp  |  76
17:55:42  |  Core  |  Info  |  PointerManager successfully shutdown  |  ..\..\MyGUIEngine\src\MyGUI_PointerManager.cpp  |  92
17:55:42  |  Core  |  Info  |  * Shutdown: InputManager  |  ..\..\MyGUIEngine\src\MyGUI_InputManager.cpp  |  65
17:55:42  |  Core  |  Info  |  InputManager successfully shutdown  |  ..\..\MyGUIEngine\src\MyGUI_InputManager.cpp  |  70
17:55:42  |  Core  |  Info  |  * Shutdown: SkinManager  |  ..\..\MyGUIEngine\src\MyGUI_SkinManager.cpp  |  61
17:55:42  |  Core  |  Info  |  SkinManager successfully shutdown  |  ..\..\MyGUIEngine\src\MyGUI_SkinManager.cpp  |  66
17:55:42  |  Core  |  Info  |  * Shutdown: SubWidgetManager  |  ..\..\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  71
17:55:42  |  Core  |  Info  |  SubWidgetManager successfully shutdown  |  ..\..\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  91
17:55:42  |  Core  |  Info  |  * Shutdown: LayerManager  |  ..\..\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  59
17:55:42  |  Core  |  Info  |  destroy layer 'Wallpaper'  |  ..\..\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
17:55:42  |  Core  |  Info  |  destroy layer 'Back'  |  ..\..\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
17:55:42  |  Core  |  Info  |  destroy layer 'Overlapped'  |  ..\..\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
17:55:42  |  Core  |  Info  |  destroy layer 'Middle'  |  ..\..\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
17:55:42  |  Core  |  Info  |  destroy layer 'Modal'  |  ..\..\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
17:55:42  |  Core  |  Info  |  destroy layer 'Main'  |  ..\..\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
17:55:42  |  Core  |  Info  |  destroy layer 'Popup'  |  ..\..\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
17:55:42  |  Core  |  Info  |  destroy layer 'FadeMiddle'  |  ..\..\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
17:55:42  |  Core  |  Info  |  destroy layer 'Info'  |  ..\..\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
17:55:42  |  Core  |  Info  |  destroy layer 'ToolTip'  |  ..\..\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
17:55:42  |  Core  |  Info  |  destroy layer 'DragAndDrop'  |  ..\..\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
17:55:42  |  Core  |  Info  |  destroy layer 'FadeBusy'  |  ..\..\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
17:55:42  |  Core  |  Info  |  destroy layer 'Pointer'  |  ..\..\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
17:55:42  |  Core  |  Info  |  destroy layer 'Fade'  |  ..\..\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
17:55:42  |  Core  |  Info  |  destroy layer 'Statistic'  |  ..\..\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
17:55:42  |  Core  |  Info  |  LayerManager successfully shutdown  |  ..\..\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  70
17:55:42  |  Core  |  Info  |  * Shutdown: FontManager  |  ..\..\MyGUIEngine\src\MyGUI_FontManager.cpp  |  59
17:55:42  |  Core  |  Info  |  FontManager successfully shutdown  |  ..\..\MyGUIEngine\src\MyGUI_FontManager.cpp  |  66
17:55:42  |  Core  |  Info  |  * Shutdown: ControllerManager  |  ..\..\MyGUIEngine\src\MyGUI_ControllerManager.cpp  |  58
17:55:42  |  Core  |  Info  |  ControllerManager successfully shutdown  |  ..\..\MyGUIEngine\src\MyGUI_ControllerManager.cpp  |  69
